english,polish,type,level
downstairs,parterowy,przymiotnik,A2
party,partia,rzeczownik,A1
partner,partner,rzeczownik,A1
partner,partnerka,rzeczownik,A1
even,parzysty,przymiotnik,B2
burn,parzyć,czasownik,A2
passenger,pasażer,rzeczownik,A2
belt,pasek,rzeczownik,A2
passion,pasja,rzeczownik,B1
fit,pasować,czasownik,A2
suit,pasować (komuś),czasownik,B1
match,pasować do siebie,czasownik,A1
matching,pasujący,przymiotnik,B2
feed,pasza,rzeczownik,B2
passport,paszport,rzeczownik,A1
pan,patelnia,rzeczownik,B1
look,patrzeć,czasownik,A1
stick (piece of wood),patyk,rzeczownik,B1
nail,paznokieć,rzeczownik,B1
palace,pałac,rzeczownik,A2
country/ state,państwo,rzeczownik,A1
national/ state,państwowy,przymiotnik,A2
October,październik,rzeczownik,A1
push,pchać,czasownik,A2
push,pchnięcie,rzeczownik,B1
penny,pens,rzeczownik,A2
salary,pensja,rzeczownik,A2
platform,peron,rzeczownik,A2
staff,personel,rzeczownik,B1
perspective/ prospect,perspektywa,rzeczownik,B2
sure,pewnie,przysłówek,A2
confidence,pewność siebie,rzeczownik,B2
certain/ secure/ sure,pewny,przymiotnik,A2
confident,pewny siebie,przymiotnik,B1
complete/ full,pełny,przymiotnik,A1
piano,pianino,rzeczownik,A1
sand,piasek,rzeczownik,B1
bake,piec,czasownik,B1
stamp,pieczątka,rzeczownik,A2
hell,piekło,rzeczownik,B2
nurse,pielęgniarka,rzeczownik,A1
nurse,pielęgniarz,rzeczownik,A1
money,pieniądze,rzeczownik,A1
pepper,pieprz,rzeczownik,A1
element,pierwiastek,rzeczownik,B1
originally,pierwotnie,przysłówek,B1
original,pierwotny,przymiotnik,A2
prime,pierwszej jakości,przymiotnik,B2
first,pierwszy,określnik / liczebnik,A1
first,pierwszy (miejsce,rzeczownik,A2
breast,pierś,rzeczownik,B2
ring (object),pierścionek,rzeczownik,A2
dog,pies,rzeczownik,A1
drunk,pijany,przymiotnik,B1
hot/ spicy,pikantny,przymiotnik,A1
file,pilnik,rzeczownik,B1
guard,pilnować,czasownik,B1
pilot,pilot (samolotu),rzeczownik,A2
pin,pinezka,rzeczownik,B1
song/ tune,piosenka,rzeczownik,A1
writing,pisanie,rzeczownik,A1
writer,pisarka,rzeczownik,A1
writer,pisarz,rzeczownik,A1
write,pisać,czasownik,A1
type,pisać na klawiaturze,czasownik,B1
text,pisać wiadomości tekstowe,czasownik,A2
written,pisemny,przymiotnik,B1
script/ writing,pismo,rzeczownik,B1
spelling,pisownia,rzeczownik,A1
gun,pistolet,rzeczownik,A2
beer,piwo,rzeczownik,A1
feather/ pen,pióro,rzeczownik,B2
Friday,piątek,rzeczownik,A1
fifth,piąty,liczebnik,A1
drink,pić,czasownik,A1
beauty,piękno,rzeczownik,B1
beautiful,piękny,przymiotnik,A1
heel,pięta,rzeczownik,B2
fifteen,piętnaście,liczebnik,A1
floor,piętro,rzeczownik,A1
story,piętro (AmE),rzeczownik,A1
five,pięć,liczebnik,A1
fifty,pięćdziesiąt,liczebnik,A1
ball,piłka,rzeczownik,A1
football/ soccer,piłka nożna,rzeczownik,A1
square,plac,rzeczownik,A2
facility,placówka,rzeczownik,B2
poster,plakat,rzeczownik,A2
spot,plamka,rzeczownik,B1
plan,plan,rzeczownik,A1
planet,planeta,rzeczownik,A2
planning,planowanie,rzeczownik,B1
due,planowany,przymiotnik,B1
map/ plan/ schedule,planować,czasownik,B2
slice,plasterek,rzeczownik,B1
plastic,plastik,rzeczownik,A2
plastic,plastikowy,przymiotnik,A2
plastic,plastyczny,przymiotnik,A2
platform,platforma,rzeczownik,A2
beach,plaża,rzeczownik,A1
back,plecy,rzeczownik,A1
file,plik,rzeczownik,B1
crop,plon,rzeczownik,B2
plus,plus,przyimek,B1
after/ following/ past,po,przyimek,A1
second (next after first)/ secondly,po drugie,przysłówek,A2
left,po lewej stronie,przysłówek,A1
firstly,po pierwsze,przysłówek,A2
simply,po prostu,przysłówek,B1
first,po raz pierwszy,przysłówek,A1
after,po tym jak,spójnik,A2
download,pobierać (dane),czasownik,A2
charge,pobierać opłatę,czasownik,B1
download,pobrany plik,rzeczownik,A2
stay,pobyt,rzeczownik,A2
kiss,pocałunek,rzeczownik,B1
background/ origin,pochodzenie,rzeczownik,A2
approve,pochwalać,czasownik,B2
praise,pochwała,rzeczownik,B2
lean,pochylać się,czasownik,B2
rub,pocierać,czasownik,B2
comfort,pocieszać,czasownik,B2
bullet,pocisk,rzeczownik,B2
attraction/ train,pociąg,rzeczownik,B1
draw,pociągać,czasownik,A1
pull,pociągnięcie,rzeczownik,B1
mail/ post,poczta,rzeczownik,A2
sense,poczucie,rzeczownik,A2
beginning/ origin/ start,początek,rzeczownik,A1
initially/ originally,początkowo,przysłówek,B2
advance/ initial,początkowy,przymiotnik,B2
below/ under,pod,przyimek,A1
under,pod,przysłówek,A1
plenty,pod dostatkiem,zaimek,B1
impressed,pod wrażeniem,przymiotnik,B2
underground,pod ziemią,przysłówek,A2
application,podanie,rzeczownik,B1
pass,podanie (w grze),rzeczownik,B1
tax,podatek,rzeczownik,B1
subject,podatny,przymiotnik,B2
give/ hand,podawać,czasownik,A1
supply,podaż,rzeczownik,B1
approach,podchodzić,czasownik,B2
during,podczas,przyimek,A1
whereas/ while,podczas gdy,spójnik,B2
evaluate,poddawać ewaluacji,czasownik,B2
submit,poddawać się,czasownik,B2
suspect,podejrzany,rzeczownik,B2
suspect,podejrzewać,czasownik,B2
approach,podejście,rzeczownik,B2
excited,podekscytowany,przymiotnik,A1
heat,podgrzewać,czasownik,A2
platform,podium,rzeczownik,A2
drive,podjazd,rzeczownik,A2
emphasize/ highlight/ stress,podkreślać,czasownik,B2
water,podlewać,czasownik,B1
subject,podmiot,rzeczownik,A1
excitement,podniecenie,rzeczownik,B1
lift/ pick/ raise,podnosić,czasownik,A2
rise,podnosić się,czasownik,A2
appeal,podobać się,czasownik,B2
similarity,podobieństwo,rzeczownik,B1
similarly,podobnie,przysłówek,B1
similar,podobny,przymiotnik,A1
like (similar),podobny do,przyimek,A1
sign,podpisywać,czasownik,A2
journey/ travel/ trip,podróż,rzeczownik,A1
traveller,podróżnik,rzeczownik,A2
traveller,podróżny,rzeczownik,A2
tour/ travel,podróżować,czasownik,B1
base/ basis,podstawa,rzeczownik,B1
basic/ core/ essential/ fundamental/ primary,podstawowy,przymiotnik,B1
trick,podstęp,rzeczownik,B1
summary,podsumowanie,rzeczownik,B1
sum/ summarize,podsumowywać,czasownik,B2
lift,podwiezienie,rzeczownik,A2
double,podwoić,czasownik,A2
rise,podwyżka,rzeczownik,B1
double,podwójnie,przysłówek,B1
double,podwójny,przymiotnik,A2
yard,podwórze,rzeczownik,B1
divide/ division,podział,rzeczownik,B2
scale,podziałka,rzeczownik,B2
underground,podziemny,przymiotnik,A2
admire,podziwiać,czasownik,B1
thanks,podziękowania,wykrzyknik / rzeczownik,A1
floor,podłoga,rzeczownik,A1
ground,podłoże,rzeczownik,A2
poet,poeta,rzeczownik,B1
poet,poetka,rzeczownik,B1
poetry,poezja,rzeczownik,B1
chat,pogawędka,rzeczownik,A2
notion/ view,pogląd,rzeczownik,B2
weather,pogoda,rzeczownik,A1
cheerful,pogodny,przymiotnik,B1
emerge,pojawiać się,czasownik,B2
appear,pojawić się,czasownik,A2
vehicle,pojazd,rzeczownik,A2
single,pojedynczy,przymiotnik,A2
container,pojemnik,rzeczownik,B1
capacity,pojemność,rzeczownik,B2
capture,pojmowanie,rzeczownik,B2
concept/ notion,pojęcie,rzeczownik,B2
display/ show,pokaz,rzeczownik,B2
display/ show,pokazywać,czasownik,B2
generation,pokolenie,rzeczownik,B1
beat,pokonać,czasownik,A2
defeat,pokonywać,czasownik,B2
cover,pokrycie,rzeczownik,B1
covered,pokryty,przymiotnik,B1
receipt,pokwitowanie,rzeczownik,B1
room,pokój,rzeczownik,A1
peace,pokój (brak wojny),rzeczownik,A2
field,pole,rzeczownik,A2
recommend,polecać,czasownik,A2
command/ instruction/ recommendation,polecenie,rzeczownik,B2
rely,polegać na,czasownik,B2
police,policja,rzeczownik,A1
policeman,policjant,rzeczownik,A1
policy,polisa,rzeczownik,B1
political,polityczny,przymiotnik,B1
politician,polityk,rzeczownik,B1
policy,polityka,rzeczownik,B1
politics,polityka (dziedzina),rzeczownik,B1
hunt/ shooting,polowanie,rzeczownik,B2
hunting,polowanie (jako zajęcie),rzeczownik,B2
hunt,polować,czasownik,B1
aid/ assist/ help,pomagać,czasownik,B2
orange,pomarańcza,rzeczownik,A1
orange,pomarańczowy,przymiotnik,A1
measurement,pomiar,rzeczownik,B2
tomato,pomidor,rzeczownik,A1
contain,pomieścić,czasownik,A2
despite,pomimo,przyimek,B1
among/ between,pomiędzy,przyimek,A2
between,pomiędzy,przysłówek,A2
aid/ help,pomoc,rzeczownik,B2
assistant,pomocniczy,przymiotnik,A2
assistant,pomocnik,rzeczownik,A2
helpful,pomocny,przymiotnik,A2
mistake,pomylić kogoś,czasownik,B2
idea,pomysł,rzeczownik,A1
mistake,pomyłka,czasownik,B2
beyond/ over,ponad,przyimek,B2
over,ponad,przysłówek,A1
furthermore,ponadto,przysłówek,B2
urge,ponaglać,czasownik,B2
Monday,poniedziałek,rzeczownik,A1
somewhat,poniekąd,przysłówek,B2
as/ because,ponieważ,spójnik,A2
below/ under,poniżej,przyimek,A1
below/ under,poniżej,przysłówek,A1
pop,pop,rzeczownik / przymiotnik,A2
commit,popełnić,czasownik,B1
afternoon,popołudnie,rzeczownik,A1
better/ improvement,poprawa,rzeczownik,B1
correct/ improve,poprawiać,czasownik,A1
correctly/ right,poprawnie,przysłówek,A2
correct/ right,poprawny,przymiotnik,A1
former/ previous,poprzedni,przymiotnik,B2
previously,poprzednio,przysłówek,B1
through,poprzez,przyimek,A1
population,populacja,rzeczownik,A2
popularity,popularność,rzeczownik,B2
popular,popularny,przymiotnik,A1
demand,popyt,rzeczownik,B2
season,pora roku,rzeczownik,A2
guide,poradnik,rzeczownik,A2
morning,poranek,rzeczownik,A1
defeat/ failure,porażka,rzeczownik,B2
agreement/ deal,porozumienie,rzeczownik,B1
port,port,rzeczownik,B1
portrait,portret,rzeczownik,B1
desert,porzucać,czasownik,B2
abandon,porzucić,czasownik,B2
order,porządek,rzeczownik,A1
agenda,porządek dnia,rzeczownik,B2
sort,porządkować,czasownik,B1
decent/ neat/ tidy,porządny,przymiotnik,B2
comparison,porównanie,rzeczownik,B1
compare/ contrast,porównywać,czasownik,A1
convenient,poręczny,przymiotnik,B1
possession,posiadanie,rzeczownik,A2
have/ hold/ own/ possess,posiadać,czasownik,A1
session,posiedzenie,rzeczownik,B2
meal,posiłek,rzeczownik,A1
attitude/ stand,postawa,rzeczownik,B1
character/ figure,postać,rzeczownik,A2
view,postrzegać,czasownik,B1
stop/ wait,postój,rzeczownik,A1
advance/ development/ progress,postęp,rzeczownik,B2
advance,postępować,czasownik,B2
move,posunięcie,rzeczownik,B1
individual,poszczególny,przymiotnik,A2
hunt/ search,poszukiwanie,rzeczownik,B2
statue,posąg,rzeczownik,B1
afterwards/ next/ then,potem,przysłówek,B2
potential,potencjalny,przymiotnik,B2
potential,potencjał,rzeczownik,B2
stream,potok,rzeczownik,B2
capable,potrafiący,przymiotnik,B2
can (modal),potrafić,czasownik modalny,A1
dish,potrawa,rzeczownik,A1
need,potrzeba,rzeczownik,A2
need/ require,potrzebować,czasownik,A1
shake,potrząsać,czasownik,A2
shake,potrząśnięcie,rzeczownik,B1
confirm,potwierdzać,czasownik,B1
trip,potykać się,czasownik,B2
powerful,potężny,przymiotnik,B1
regard/ respect,poważanie,rzeczownik,B2
respect,poważać,czasownik,B1
seriously,poważnie,przysłówek,B1
serious/ severe,poważny,przymiotnik,A2
county,powiat,rzeczownik,B2
say/ tell,powiedzieć,czasownik,A1
surface,powierzchnia,rzeczownik,B1
air,powietrze,rzeczownik,A1
novel,powieść,rzeczownik,A2
should,powinien,czasownik modalny,A1
should,powinna,czasownik modalny,A1
ought,powinno się (modalny),czasownik modalny,B1
welcome,powitanie,rzeczownik,A2
associated/ related,powiązany,przymiotnik,B2
cause,powodować,czasownik,A2
slowly,powoli,przysłówek,A2
slow,powolny,przymiotnik,A1
return,powrót,rzeczownik,A1
arise,powstawać,czasownik,B2
commonly/ generally/ widely,powszechnie,przysłówek,B2
common,powszechny,przymiotnik,A1
repeated,powtarzający się,przymiotnik,B1
repeat,powtarzać,czasownik,A1
revise,powtarzać (materiał),czasownik,B1
repeat/ review,powtórka,rzeczownik,B1
above,powyżej,przyimek,A1
above,powyżej,przysłówek,A1
cause/ reason,powód,rzeczownik,A2
flood,powódź,rzeczownik,B1
beyond,poza,przyimek,B2
out,poza,przysłówek / przyimek,A1
beyond,poza tym,przysłówek,B2
rid,pozbywać się (w zwrocie get rid of),czasownik,B2
greet,pozdrawiać,czasownik,A2
level/ pitch,poziom,rzeczownik,A2
high,poziom wysoki,rzeczownik,B2
level,poziomy,przymiotnik,B1
meet,poznawać,czasownik,A1
apparent,pozorny,przymiotnik,B2
remain,pozostawać,czasownik,B1
rest (remaining part),pozostałość,rzeczownik,A2
pose,pozować,czasownik,B2
allow/ let/ permit,pozwalać,czasownik,A2
leave/ permission/ permit,pozwolenie,rzeczownik,B2
afford,pozwolić sobie na,czasownik,B1
item/ position/ status,pozycja,rzeczownik,A2
positive,pozytyw,rzeczownik,B2
positive,pozytywny,przymiotnik,A1
half,połowa,rzeczownik,A1
half,połowiczny,określnik / zaimek,A1
location/ position,położenie,rzeczownik,B1
located,położony,przymiotnik,B1
south,południe (kierunek),rzeczownik,A1
south,południowy,przymiotnik,A1
southern,południowy (z regionu),przymiotnik,B1
combination/ connection/ link,połączenie,rzeczownik,B2
associated/ connected,połączony,przymiotnik,B2
slip,poślizgnąć się,czasownik,B2
hurry/ rush,pośpiech,rzeczownik,B1
indirect,pośredni,przymiotnik,B1
fire,pożar,rzeczownik,A1
goodbye,pożegnanie,wykrzyknik / rzeczownik,A1
lend,pożyczać (komuś),czasownik,A2
borrow,pożyczać (od kogoś),czasownik,A2
loan,pożyczka,rzeczownik,B2
benefit/ good,pożytek,rzeczownik,A2
job/ labour/ work,praca,rzeczownik,A1
paper,praca (naukowa),rzeczownik,A1
employer,pracodawca,rzeczownik,A2
work,pracować,czasownik,A1
studio,pracownia,rzeczownik,B1
employee/ worker,pracownik,rzeczownik,A2
executive,pracownik na szczeblu kierowniczym,rzeczownik,B2
working,pracujący,przymiotnik,A2
desire/ wish,pragnienie,rzeczownik,B2
desire/ wish,pragnąć,czasownik,B2
practical,praktyczny,przymiotnik,B1
practice,praktyka,rzeczownik,A1
wash/ washing,pranie,rzeczownik,A2
press,prasa,rzeczownik,B1
iron/ press,prasować,czasownik,B1
right,prawa strona,rzeczownik,A1
truth,prawda,rzeczownik,B1
probably,prawdopodobnie,przysłówek,A1
likely,prawdopodobny,przymiotnik,A2
real/ true,prawdziwy,przymiotnik,A1
correctly/ properly,prawidłowo,przysłówek,A2
about/ almost/ nearly,prawie,przysłówek,A1
lawyer,prawnik,rzeczownik,A2
legal,prawny,przymiotnik,B1
law,prawo,rzeczownik,A2
right,prawo (np. do czegoś),rzeczownik,A1
licence,prawo jazdy,rzeczownik,B2
right,prawy,przymiotnik,A1
wash,prać,czasownik,A1
exact,precyzyjny,przymiotnik,A2
prefer,preferować,czasownik,A1
launch/ release,premiera,rzeczownik,B2
pressure,presja,rzeczownik,B1
gift/ present,prezent,rzeczownik,A2
presentation,prezentacja,rzeczownik,B1
present,prezentować,czasownik,A2
president,prezes,rzeczownik,A2
president,prezydent,rzeczownik,A2
priority,priorytet,rzeczownik,B2
problem/ trouble,problem,rzeczownik,A1
procedure,procedura,rzeczownik,B2
percentage,procent,rzeczownik,B1
per cent,procent,rzeczownik / przymiotnik / przysłówek,A2
process/ trial,proces,rzeczownik,A2
producer,producent,rzeczownik,B1
production,produkcja,rzeczownik,B1
produce,produkować,czasownik,A2
product,produkt,rzeczownik,A1
produce,produkty rolne,rzeczownik,B2
profession,profesja,rzeczownik,B1
professional,profesjonalista,rzeczownik,B2
professional,profesjonalny,przymiotnik,A2
professor,profesor,rzeczownik,A2
profile,profil,rzeczownik,A2
prediction,prognoza,rzeczownik,B1
agenda/ program/ scheme/ show,program,rzeczownik,B2
programme,program (np. telewizyjny),rzeczownik,A1
program,programować,czasownik,B1
design/ draft/ project,projekt,rzeczownik,A1
bill,projekt ustawy,rzeczownik,A1
designer,projektant,rzeczownik,A2
designer,projektantka,rzeczownik,A2
design/ project,projektować,czasownik,A1
promote,promować,czasownik,B1
offer/ propose/ suggest,proponować,czasownik,A2
offer/ proposal/ suggestion,propozycja,rzeczownik,A2
ask/ request,prosić,czasownik,A1
straight,prosto,przysłówek,A2
square,prostokątny,przymiotnik,A2
plain/ simple/ straight,prosty,przymiotnik,B2
powder,proszek,rzeczownik,B1
please,proszę,wykrzyknik,A1
protest,protest,rzeczownik,B1
protest,protestować,czasownik,B1
driving,prowadzenie auta,rzeczownik,A2
conduct,prowadzenie się,rzeczownik,B2
conduct/ guide,prowadzić,czasownik,B2
drive,prowadzić (pojazd),czasownik,A1
research,prowadzić badania,czasownik,A2
investigate,prowadzić dochodzenie,czasownik,B1
campaign,prowadzić kampanię,czasownik,B1
lecture,prowadzić wykład,czasownik,A2
commission,prowizja,rzeczownik,B2
request,prośba,rzeczownik,A2
enquiry,prośba o informację,rzeczownik,B2
shower,prysznic,rzeczownik,A1
privacy,prywatność,rzeczownik,B2
personal/ private,prywatny,przymiotnik,A1
hit,przebój,rzeczownik,A2
walk,przechadzka,rzeczownik,A1
pass,przechodzić,czasownik,A2
retire,przechodzić na emeryturę,czasownik,B1
cross,przechodzić przez,czasownik,A2
store,przechowywać,czasownik,B1
tip,przechylać,czasownik,B1
contrast/ opposite,przeciwieństwo,rzeczownik,B1
against,przeciwko,przyimek,A2
opponent,przeciwnik,rzeczownik,B2
opposed,przeciwny,przymiotnik,B2
opposite,przeciwny,przymiotnik / przysłówek / przyimek,A1
average,przeciętny,przymiotnik,A2
negative,przeczenie,rzeczownik,B2
feeling,przeczucie,rzeczownik,A1
negative,przeczący,przymiotnik,A1
before,przed,przyimek,A1
ahead,przed nami,przysłówek,B1
submit,przedkładać,czasownik,B2
object/ subject,przedmiot,rzeczownik,A1
forward/ front,przedni,przymiotnik,B2
firm,przedsiębiorstwo,rzeczownik,B2
project,przedsięwzięcie,rzeczownik,A1
introduce/ present/ represent,przedstawiać,czasownik,A1
representative,przedstawiciel,rzeczownik,B2
performance/ presentation/ show,przedstawienie,rzeczownik,B1
outline,przedstawić w zarysie,czasownik,B2
range,przedział,rzeczownik,B1
extend,przedłużać,czasownik,B2
review,przegląd,rzeczownik,A2
scan,przeglądać,czasownik,B1
lose,przegrać,czasownik,A1
clear,przejaśniać się,czasownik,B1
drive/ ride,przejażdżka,rzeczownik,A2
passage/ transition,przejście,rzeczownik,B2
swear,przeklinać,czasownik,B2
belief,przekonanie,rzeczownik,B1
convinced,przekonany,przymiotnik,B2
convince/ persuade,przekonywać,czasownik,B1
cross,przekraczać,czasownik,A2
convert/ transform,przekształcać,czasownik,B2
translation,przekład,rzeczownik,B1
translate,przekładać,czasownik,B1
transfer,przelew,rzeczownik,B2
transfer,przelewać,czasownik,B2
transition,przemiana,rzeczownik,B2
pace,przemierzać,czasownik,B2
movement,przemieszczanie się,rzeczownik,A2
violence,przemoc,rzeczownik,B2
industry,przemysł,rzeczownik,A2
industrial,przemysłowy,przymiotnik,B2
speech,przemówienie,rzeczownik,A2
transfer,przeniesienie,rzeczownik,B2
transfer,przenosić,czasownik,B2
mobile,przenośny,przymiotnik,A2
regulation,przepis,rzeczownik,B2
recipe,przepis (kulinarny),rzeczownik,A2
sorry,przepraszam,przymiotnik / wykrzyknik,A1
apologize,przepraszać,czasownik,B1
conduct,przeprowadzać,czasownik,B2
move,przeprowadzać się,czasownik,A1
survey,przeprowadzać sondaż,czasownik,B2
interview,przeprowadzać wywiad,czasownik,A1
pass,przepustka,rzeczownik,B1
flow,przepływ,rzeczownik,B1
flow,przepływać,czasownik,B1
frightening/ scary,przerażający,przymiotnik,B1
break/ gap/ stop,przerwa,rzeczownik,A1
break/ interrupt,przerywać,czasownik,A1
stop,przestawać,czasownik,A1
quit,przestać,czasownik,B1
afraid/ frightened/ scared,przestraszony,przymiotnik,A1
frighten,przestraszyć,czasownik,B1
obey,przestrzegać,czasownik,B2
observe,przestrzegać (np. prawa),czasownik,B2
room/ space,przestrzeń,rzeczownik,A1
criminal,przestępca,rzeczownik,A2
criminal,przestępczy,przymiotnik,B1
crime/ offence,przestępstwo,rzeczownik,A2
shift,przesunięcie,rzeczownik,B1
shift/ slide,przesuwać,czasownik,B2
bother/ interrupt,przeszkadzać,czasownik,B1
barrier,przeszkoda,rzeczownik,B2
search,przeszukiwać,czasownik,A2
past,przeszłość,rzeczownik,A1
past,przeszły,przymiotnik,A1
hearing,przesłuchanie,rzeczownik,B2
survive,przetrwać,czasownik,B1
process,przetwarzać,czasownik,B2
recycle,przetwarzać wtórnie,czasownik,A2
advantage,przewaga,rzeczownik,A2
mostly,przeważnie,przysłówek,A2
prediction,przewidywanie,rzeczownik,B1
predict/ project,przewidywać,czasownik,A2
chair,przewodniczyć,czasownik,B2
chairman,przewodniczący,rzeczownik,B2
guide,przewodnik,rzeczownik,A2
head,przewodzić,czasownik,B1
carry,przewozić,czasownik,A1
cable/ wire,przewód,rzeczownik,B2
across/ by/ over/ through/ via,przez,przyimek,A1
through,przez,przysłówek,A1
for,przez (czas),przyimek,A1
throughout,przez cały,przyimek / przysłówek,B1
online,przez internet,przysłówek,A1
cold,przeziębienie,rzeczownik,A1
intended,przeznaczony,przymiotnik,B2
switch,przełączać,czasownik,B1
switch,przełącznik,rzeczownik,B2
sheet,prześcieradło,rzeczownik,A2
experience,przeżywać,czasownik,B1
survive,przeżyć,czasownik,B1
leading,przodujący,przymiotnik,B1
at/ by,przy,przyimek,A1
rough,przybliżony,przymiotnik,B1
arrive,przybyć,czasownik,A1
come,przychodzić,czasownik,A1
favour,przychylność,rzeczownik,B1
button,przycisk,rzeczownik,A2
attract,przyciągać,czasownik,B1
cause/ reason,przyczyna,rzeczownik,A2
contribute,przyczyniać się,czasownik,B2
useful,przydatny,przymiotnik,A1
depressing,przygnębiający,przymiotnik,B2
depressed,przygnębiony,przymiotnik,B2
adventure,przygoda,rzeczownik,A2
preparation,przygotowanie,rzeczownik,B2
prepared,przygotowany,przymiotnik,B1
prepare,przygotowywać (się),czasownik,A1
friend,przyjaciel,rzeczownik,A1
arrival,przyjazd,rzeczownik,B1
friendly,przyjazny,przymiotnik,A1
friendship,przyjaźń,rzeczownik,B1
arrive,przyjechać,czasownik,A1
pleasure,przyjemność,rzeczownik,B1
pleasant,przyjemny,przymiotnik,B1
come,przyjeżdżać,czasownik,A1
adopt,przyjąć,czasownik,B2
party/ reception,przyjęcie,rzeczownik,A1
stick (push into/attach),przyklejać,czasownik,B1
sorry,przykro mi,przymiotnik / wykrzyknik,A1
cover,przykrywać,czasownik,A2
example/ instance,przykład,rzeczownik,A1
arrival,przylot,rzeczownik,B1
bring,przynosić,czasownik,A1
case,przypadek,rzeczownik,A2
pin,przypinać,czasownik,B1
remind,przypominać (komuś o czymś),czasownik,B1
recall/ remember,przypominać sobie,czasownik,B2
assume/ guess/ suppose,przypuszczać,czasownik,B2
nature,przyroda,rzeczownik,A2
gain/ increase,przyrost,rzeczownik,B2
device/ instrument,przyrząd,rzeczownik,A2
swear,przysięgać,czasownik,B2
stop,przystanek,rzeczownik,A1
reasonable,przystępny (o cenie),przymiotnik,B2
acquire,przyswoić,czasownik,B2
future,przyszłość,rzeczownik,A1
future,przyszły,przymiotnik,A2
favour,przysługa,rzeczownik,B1
cite,przytaczać,czasownik,B2
tie,przywiązywać,czasownik,A2
leader,przywódca,rzeczownik,A2
leadership,przywództwo,rzeczownik,B2
import,przywóz,rzeczownik,B1
grant,przyznawać,czasownik,B2
acknowledge/ admit,przyznać,czasownik,B2
award,przyznać (nagrodę),czasownik,B1
decent,przyzwoity,przymiotnik,B2
front,przód,rzeczownik,A1
attempt/ go/ trial/ try,próba,rzeczownik,B2
trial,próba badawcza,rzeczownik,B2
sample,próbka,rzeczownik,B1
attempt/ sample/ taste/ try,próbować,czasownik,B2
current/ electricity,prąd,rzeczownik,B2
speed,prędkość,rzeczownik,A2
break/ upset,psuć,czasownik,A1
psychologist,psycholog,rzeczownik,B2
psychology,psychologia,rzeczownik,B2
bee,pszczoła,rzeczownik,B1
bird,ptak,rzeczownik,A1
pub,pub,rzeczownik,A2
audience/ public,publiczność,rzeczownik,A2
public,publiczny,przymiotnik,A2
publication,publikacja,rzeczownik,B2
publish,publikować,czasownik,A2
cup,puchar,rzeczownik,A1
powder,puder,rzeczownik,B1
box,pudełko,rzeczownik,A1
knock,pukanie,rzeczownik,B1
knock,pukać,czasownik,A2
pool,pula,rzeczownik,A1
clause/ point,punkt,rzeczownik,B1
perspective,punkt widzenia,rzeczownik,B2
blank,puste miejsce,rzeczownik,A2
blank/ empty,pusty,przymiotnik,A2
hollow,pusty w środku,przymiotnik,B2
desert,pustynia,rzeczownik,A2
can (container)/ tin,puszka,rzeczownik,A2
delicious,pyszny,przymiotnik,A1
question,pytanie,rzeczownik,A1
ask/ question,pytać,czasownik,A1
dust,pył,rzeczownik,B1
half,pół,określnik / zaimek,A1
shelf,półka,rzeczownik,B1
midnight,północ (godzina),rzeczownik,A1
north,północ (kierunek),rzeczownik,A1
north,północny,przymiotnik,A1
northern,północny (region),przymiotnik,B1
after/ afterwards/ later,później,przysłówek,A2
later,późniejszy,przymiotnik,A2
late,późno,przysłówek,A1
late,późny,przymiotnik,A1
bubble,pęcherzyk,rzeczownik,B1
brush,pędzel,rzeczownik,A2
rush/ speed,pędzić,czasownik,B2
bunch,pęk,rzeczownik,B2
split,pęknięcie,rzeczownik,B2
pay/ wage,płaca,rzeczownik,A2
pay,płacić,czasownik,A1
cry,płacz,rzeczownik,B2
cry,płakać,czasownik,A2
flat/ level,płaski,przymiotnik,A2
coat,płaszcz,rzeczownik,A1
payment,płatność,rzeczownik,B1
sexual,płciowy,przymiotnik,B1
sex,płeć,rzeczownik,B1
flame,płomień,rzeczownik,B2
burn,płonąć,czasownik,A2
fence,płot,rzeczownik,B1
lung,płuco,rzeczownik,B2
liquid,płyn,rzeczownik,B1
liquid/ smooth,płynny,przymiotnik,B1
flow/ sail,płynąć,czasownik,B1
disc/ panel/ plate/ record,płyta,rzeczownik,B2
CD,płyta CD,rzeczownik,A1
DVD,płyta DVD,rzeczownik,A1
shallow,płytki,przymiotnik,B2
swim,pływanie,rzeczownik,B1
swimming,pływanie (jako czynność),rzeczownik,A1
swim,pływać,czasownik,A1
discount,rabat,rzeczownik,B1
account/ bill/ count,rachunek,rzeczownik,B1
rather,raczej,przysłówek,A2
advice/ council,rada,rzeczownik,A1
radio,radio,rzeczownik,A1
cheerful/ happy,radosny,przymiotnik,B1
delight/ joy,radość,rzeczownik,B2
advise,radzić,czasownik,B1
deal/ manage,radzić sobie,czasownik,A2
heaven,raj,rzeczownik,B2
cancer,rak,rzeczownik,B2
frame,rama,rzeczownik,B1
arm/ shoulder,ramię,rzeczownik,A1
frame,ramka,rzeczownik,B1
wound,rana,rzeczownik,B2
cut,rana cięta,rzeczownik,B1
date,randka,rzeczownik,A1
rank,ranga,rzeczownik,B2
hurt/ injure/ wound,ranić,czasownik,A2
hurt/ injured,ranny,przymiotnik,A2
morning,rano,rzeczownik,A1
report,raport,rzeczownik,A1
report,raportować,czasownik,A2
race (people),rasa,rzeczownik,B1
rescue/ save,ratować,czasownik,B2
rescue,ratunek,rzeczownik,B2
