english,polish,type,level
meeting,spotkanie / zebranie,rzeczownik,A1
melt,topnieć / roztapiać,czasownik,B2
member,członek (np. organizacji),rzeczownik,A1
memory,pamięć / wspomnienie,rzeczownik,A2
mental,mentalny / umysłowy,przymiotnik,B1
mention,wspominać / nadmieniać,czasownik,A2
mention,wzmianka,rzeczownik,B1
menu,menu / karta dań,rzeczownik,A1
mess,bałagan / nieład,rzeczownik,B1
mess,brudzić / bałaganić,czasownik,B1
message,wiadomość,rzeczownik,A1
metal,metal,rzeczownik,A2
method,metoda,rzeczownik,A2
metre,metr,rzeczownik,A1
middle,środek,rzeczownik,A2
middle,środkowy,przymiotnik,A2
midnight,północ (godzina),rzeczownik,A1
might,móc (prawdopodobieństwo),czasownik modalny,A2
mild,łagodny (np. o smaku / klimacie),przymiotnik,B1
mile,mila,rzeczownik,A1
military,wojskowy / militarny,przymiotnik,B2
military,wojsko,rzeczownik,B2
milk,mleko,rzeczownik,A1
million,milion,liczebnik,A1
mind,umysł,rzeczownik,A2
mind,mieć coś przeciwko / uważać na,czasownik,A2
mine,mój / moja / moje (zaimek dzierżawczy),zaimek,A2
mine,kopalnia / mina,rzeczownik,B1
mineral,minerał,rzeczownik,B2
minimum,minimalny,przymiotnik,B2
minimum,minimum,rzeczownik,B2
minister,minister,rzeczownik,B2
minor,drobny / mniejszy / niepełnoletni,przymiotnik,B2
minority,mniejszość,rzeczownik,B2
minute,minuta,rzeczownik,A1
mirror,lustro,rzeczownik,A2
miss,tęsknić / spóźnić się / chybić,czasownik,A1
missing,brakujący / zaginiony,przymiotnik,A2
mission,misja,rzeczownik,B2
mistake,błąd,rzeczownik,A1
mistake,pomyłka / pomylić kogoś,czasownik,B2
mix,mieszać,czasownik,B1
mix,mieszanka,rzeczownik,B1
mixed,mieszany,przymiotnik,B2
mixture,mieszanina,rzeczownik,B1
mobile,mobilny / przenośny,przymiotnik,A2
mobile,telefon komórkowy,rzeczownik,A2
model,model / wzór,rzeczownik,A1
model,modelować,czasownik,B2
modern,nowoczesny / współczesny,przymiotnik,A1
modify,modyfikować,czasownik,B2
moment,moment / chwila,rzeczownik,A1
Monday,poniedziałek,rzeczownik,A1
money,pieniądze,rzeczownik,A1
monitor,monitorować / nadzorować,czasownik,B2
monitor,monitor,rzeczownik,B2
monkey,małpa,rzeczownik,A2
month,miesiąc,rzeczownik,A1
mood,nastrój / humor,rzeczownik,B1
moon,księżyc,rzeczownik,A2
moral,moralny,przymiotnik,B2
moral,morał / zasady moralne,rzeczownik,B2
more,więcej,określnik / zaimek,A1
more,więcej / bardziej,przysłówek,A1
morning,poranek / rano,rzeczownik,A1
most,najwięcej / większość,określnik / zaimek,A1
most,najbardziej,przysłówek,A1
mostly,głównie / przeważnie,przysłówek,A2
mother,matka,rzeczownik,A1
motor,silnik,rzeczownik,B2
motor,silnikowy / motoryczny,przymiotnik,B2
motorcycle,motocykl,rzeczownik,A2
mount,montować / wzrastać / wsiadać,czasownik,B2
mountain,góra,rzeczownik,A1
mouse,mysz,rzeczownik,A1
mouth,usta,rzeczownik,A1
move,ruszać (się) / przeprowadzać się,czasownik,A1
move,ruch / posunięcie,rzeczownik,B1
movement,ruch / przemieszczanie się,rzeczownik,A2
movie,film,rzeczownik,A1
much,dużo / wiele,określnik / zaimek,A1
much,bardzo / o wiele,przysłówek,A1
mud,błoto,rzeczownik,B1
multiple,wielokrotny / liczny,przymiotnik,B2
multiply,mnożyć / rozmnażać się,czasownik,B2
mum,mama,rzeczownik,A1
murder,morderstwo,rzeczownik,B1
murder,mordować,czasownik,B1
muscle,mięsień,rzeczownik,B1
museum,muzeum,rzeczownik,A1
music,muzyka,rzeczownik,A1
musical,muzyczny,przymiotnik,A2
musical,musical,rzeczownik,B1
musician,muzyk,rzeczownik,A2
must,musieć,czasownik modalny,A1
my,mój / moja / moje,określnik,A1
myself,ja sam / siebie / się,zaimek,A2
mysterious,tajemniczy,przymiotnik,B2
mystery,tajemnica / zagadka,rzeczownik,B1
nail,gwóźdź / paznokieć,rzeczownik,B1
name,imię / nazwa,rzeczownik,A1
name,nazywać,czasownik,A1
narrative,opowieść / narracja,rzeczownik,B1
narrative,narracyjny,przymiotnik,B1
narrow,wąski,przymiotnik,A2
narrow,zwężać (się),czasownik,B2
nation,naród,rzeczownik,B1
national,narodowy / państwowy,przymiotnik,A2
national,dziennik ogólnokrajowy,rzeczownik,B2
native,ojczysty / rodzimy,przymiotnik,B1
native,rodowity mieszkaniec,rzeczownik,B1
natural,naturalny,przymiotnik,A1
naturally,naturalnie / oczywiście,przysłówek,B1
nature,natura / przyroda,rzeczownik,A2
near,blisko / niedaleko,przyimek,A1
near,bliski,przymiotnik,A1
near,blisko,przysłówek,A1
nearly,prawie / blisko,przysłówek,A2
neat,schludny / porządny,przymiotnik,B2
necessarily,koniecznie / z konieczności,przysłówek,B1
necessary,konieczny / niezbędny,przymiotnik,A2
neck,szyja,rzeczownik,A2
need,potrzebować,czasownik,A1
need,potrzeba,rzeczownik,A2
need,musieć,czasownik modalny,B1
needle,igła,rzeczownik,B1
negative,negatywny / przeczący,przymiotnik,A1
negative,wynik negatywny / przeczenie,rzeczownik,B2
neighbour,sąsiad / sąsiadka,rzeczownik,A1
neighbourhood,sąsiedztwo / okolica,rzeczownik,B1
neither,żaden (z dwóch),określnik / zaimek,A2
neither,ani / też nie,przysłówek,B1
nerve,nerw / odwaga,rzeczownik,B2
nervous,nerwowy / stremowany,przymiotnik,A2
net,siatka / sieć,rzeczownik,B1
network,sieć / układ,rzeczownik,A2
never,nigdy,przysłówek,A1
nevertheless,niemniej jednak / jednakże,przysłówek,B2
new,nowy,przymiotnik,A1
news,wiadomości / wieści,rzeczownik,A1
newspaper,gazeta,rzeczownik,A1
next,następny / kolejny,przymiotnik,A1
next,następnie / potem,przysłówek,A1
next,następna osoba / następna rzecz,rzeczownik,B1
next to,obok,przyimek,A1
nice,miły / ładny,przymiotnik,A1
night,noc / wieczór,rzeczownik,A1
nightmare,koszmar,rzeczownik,B2
nine,dziewięć,liczebnik,A1
nineteen,dziewiętnaście,liczebnik,A1
ninety,dziewięćdziesiąt,liczebnik,A1
no,nie,wykrzyknik,A1
no,żaden / żadna / żadne,określnik,A1
no one,nikt,zaimek,A1
nobody,nikt,zaimek,A1
noise,hałas / szum,rzeczownik,A2
noisy,hałaśliwy / głośny,przymiotnik,A2
none,żaden / nikt / nic,zaimek,A2
nor,ani,spójnik / przysłówek,B1
normal,normalny / zwykły,przymiotnik,A2
normal,norma / stan normalny,rzeczownik,B1
normally,normalnie / zwykle,przysłówek,A2
north,północ (kierunek),rzeczownik,A1
north,północny,przymiotnik,A1
north,na północ,przysłówek,A1
northern,północny (region),przymiotnik,B1
nose,nos,rzeczownik,A1
not,nie,przysłówek,A1
note,notatka / uwaga / banknot,rzeczownik,A1
note,zanotować / zauważyć,czasownik,B1
nothing,nic,zaimek,A1
notice,zauważyć,czasownik,A2
notice,ogłoszenie / zawiadomienie,rzeczownik,A2
notion,pojęcie / pogląd,rzeczownik,B2
novel,powieść,rzeczownik,A2
November,listopad,rzeczownik,A1
now,teraz,przysłówek,A1
now,skoro / teraz gdy,spójnik,B1
nowhere,nigdzie,przysłówek,A2
nuclear,nuklearny / jądrowy,przymiotnik,B1
number,numer / liczba / ilość,rzeczownik,A1
number,numerować / liczyć,czasownik,A2
numerous,liczny,przymiotnik,B2
nurse,pielęgniarka / pielęgniarz,rzeczownik,A1
nut,orzech / nakrętka,rzeczownik,A2
obey,przestrzegać / być posłusznym,czasownik,B2
object,przedmiot / obiekt / dopełnienie,rzeczownik,A1
object,sprzeciwiać się,czasownik,B2
objective,cel,rzeczownik,B2
objective,obiektywny,przymiotnik,B2
obligation,obowiązek / zobowiązanie,rzeczownik,B2
observation,obserwacja / spostrzeżenie,rzeczownik,B2
observe,obserwować / przestrzegać (np. prawa),czasownik,B2
obtain,uzyskać / otrzymać,czasownik,B2
obvious,oczywisty,przymiotnik,B1
obviously,oczywiście / najwyraźniej,przysłówek,B1
occasion,okazja / wydarzenie,rzeczownik,B1
occasionally,okazyjnie / od czasu do czasu,przysłówek,B2
occur,wydarzyć się / występować,czasownik,B1
ocean,ocean,rzeczownik,A2
o'clock,godzina (przy podawaniu czasu),przysłówek,A1
October,październik,rzeczownik,A1
odd,dziwny / nieparzysty,przymiotnik,B1
of,z / o / od (przynależność),przyimek,A1
off,wyłączony / z dala / od (np. od powierzchni),przysłówek,A1
off,z (np. spaść z czegoś),przyimek,A1
offence,przestępstwo / obraza,rzeczownik,B2
offend,obrażać / urazić,czasownik,B2
offensive,obraźliwy / ofensywny,przymiotnik,B2
offer,oferować / proponować,czasownik,A2
offer,oferta / propozycja,rzeczownik,A2
office,biuro / urząd,rzeczownik,A1
officer,oficer / urzędnik / funkcjonariusz,rzeczownik,A2
official,oficjalny / służbowy,przymiotnik,B1
official,urzędnik / funkcjonariusz,rzeczownik,B2
often,często,przysłówek,A1
oh,o / och,wykrzyknik,A1
oil,olej / ropa naftowa,rzeczownik,A2
OK,w porządku / dobrze,wykrzyknik,A1
OK,dobry / w porządku,przymiotnik / przysłówek,A1
old,stary,przymiotnik,A1
old-fashioned,staromodny / niemodny,przymiotnik,B1
on,na / w (o dniu),przyimek,A1
on,włączony / dalej,przysłówek,A1
once,raz / kiedyś,przysłówek,A1
once,jak tylko / kiedy już,spójnik,B1
one,jeden,liczebnik / określnik,A1
one,jeden / ktoś / się (forma bezosobowa),zaimek,A1
onion,cebula,rzeczownik,A1
online,internetowy / online,przymiotnik,A1
online,przez internet / online,przysłówek,A1
only,tylko / jedynie,przysłówek,A1
only,jedyny,przymiotnik,A1
onto,na / do (zmiana położenia),przyimek,A2
open,otwarty,przymiotnik,A1
open,otwierać (się),czasownik,A1
opening,otwarcie / otwór / wolny etat,rzeczownik,B2
operate,obsługiwać / operować / działać,czasownik,B2
operation,operacja / działanie,rzeczownik,B1
opinion,opinia / zdanie,rzeczownik,A1
opponent,przeciwnik / oponent,rzeczownik,B2
opportunity,okazja / możliwość,rzeczownik,A2
oppose,sprzeciwiać się,czasownik,B2
opposed,przeciwny / będący w opozycji,przymiotnik,B2
opposite,naprzeciwko / przeciwny,przymiotnik / przysłówek / przyimek,A1
opposite,przeciwieństwo,rzeczownik,A1
opposition,opozycja / sprzeciw,rzeczownik,B2
option,opcja / wybór,rzeczownik,A2
or,lub / albo / czy,spójnik,A1
orange,pomarańczowy,przymiotnik,A1
orange,pomarańcza / kolor pomarańczowy,rzeczownik,A1
order,kolejność / porządek / zamówienie / rozkaz,rzeczownik,A1
order,zamawiać / rozkazywać,czasownik,A1
ordinary,zwyczajny / zwykły,przymiotnik,A2
organ,organ / narząd,rzeczownik,B2
organization,organizacja,rzeczownik,A2
organize,organizować,czasownik,A2
organized,zorganizowany,przymiotnik,B1
organizer,organizator,rzeczownik,B1
origin,pochodzenie / początek,rzeczownik,B2
original,oryginalny / pierwotny,przymiotnik,A2
original,oryginał,rzeczownik,B1
originally,pierwotnie / początkowo,przysłówek,B1
other,inny,przymiotnik / zaimek,A1
otherwise,w przeciwnym razie / inaczej,przysłówek,B2
ought,powinno się (modalny),czasownik modalny,B1
our,nasz,określnik,A1
ours,nasz (zaimek dzierżawczy),zaimek,B1
ourselves,my sami / się / siebie,zaimek,A2
out,na zewnątrz / poza,przysłówek / przyimek,A1
outcome,wynik / rezultat,rzeczownik,B2
outdoor,odbywający się na zewnątrz / terenowy,przymiotnik,B1
outdoors,na zewnątrz / na dworze,przysłówek,B1
outer,zewnętrzny,przymiotnik,B2
outline,zarys / szkic,rzeczownik,B2
outline,naszkicować / przedstawić w zarysie,czasownik,B2
outside,na zewnątrz / zewnątrz,przysłówek,A1
outside,na zewnątrz (czegoś),przyimek,A2
outside,zewnętrzna strona,rzeczownik,A2
outside,zewnętrzny,przymiotnik,A2
over,nad / ponad / przez,przyimek,A1
over,ponad / koniec,przysłówek,A1
overall,całkowity / ogólny,przymiotnik,B2
overall,ogólnie / w sumie,przysłówek,B2
owe,być dłużnym / zawdzięczać,czasownik,B2
own,własny,przymiotnik / zaimek,A1
own,posiadać / mieć na własność,czasownik,A2
owner,właściciel,rzeczownik,A2
pace,tempo / krok,rzeczownik,B2
pace,przemierzać / nadawać tempo,czasownik,B2
pack,pakować,czasownik,A2
pack,paczka / opakowanie / wataha,rzeczownik,B1
package,paczka / pakiet,rzeczownik,B1
package,pakować,czasownik,B2
page,strona,rzeczownik,A1
pain,ból,rzeczownik,A2
painful,bolesny,przymiotnik,B1
paint,malować,czasownik,A1
paint,farba,rzeczownik,A1
painter,malarz,rzeczownik,A2
painting,obraz / malarstwo,rzeczownik,A1
pair,para,rzeczownik,A1
palace,pałac,rzeczownik,A2
pale,blady,przymiotnik,B1
pan,patelnia / rondel,rzeczownik,B1
panel,panel / zespół / płyta,rzeczownik,B2
pants,spodnie / majtki,rzeczownik,A2
paper,papier / gazeta / praca (naukowa),rzeczownik,A1
paragraph,akapit,rzeczownik,A1
parent,rodzic,rzeczownik,A1
park,park,rzeczownik,A1
park,parkować,czasownik,A1
parking,parkowanie / parking,rzeczownik,A2
parliament,parlament,rzeczownik,B2
part,część,rzeczownik,A1
participant,uczestnik,rzeczownik,B2
participate,uczestniczyć / brać udział,czasownik,B1
particular,szczególny / konkretny,przymiotnik,A2
particularly,szczególnie,przysłówek,B1
partly,częściowo,przysłówek,B2
partner,partner / partnerka,rzeczownik,A1
party,przyjęcie / partia / strona,rzeczownik,A1
pass,mijać / przechodzić / zdawać (egzamin),czasownik,A2
pass,przepustka / podanie (w grze),rzeczownik,B1
passage,przejście / fragment / korytarz,rzeczownik,B2
passenger,pasażer,rzeczownik,A2
passion,pasja / namiętność,rzeczownik,B1
passport,paszport,rzeczownik,A1
past,miniony / przeszły,przymiotnik,A1
past,przeszłość,rzeczownik,A1
past,po / obok / za (czas/miejsce),przyimek,A1
past,obok / minione,przysłówek,A2
path,ścieżka / droga,rzeczownik,B1
patient,pacjent,rzeczownik,A2
patient,cierpliwy,przymiotnik,B2
pattern,wzór / schemat,rzeczownik,A2
pay,płacić,czasownik,A1
pay,płaca / wynagrodzenie,rzeczownik,A2
payment,płatność,rzeczownik,B1
peace,pokój (brak wojny) / spokój,rzeczownik,A2
peaceful,spokojny,przymiotnik,B1
pen,długopis / pióro,rzeczownik,A1
pencil,ołówek,rzeczownik,A1
penny,pens,rzeczownik,A2
pension,emerytura / renta,rzeczownik,B2
people,ludzie,rzeczownik,A1
pepper,pieprz / papryka,rzeczownik,A1
per,na / za (np. za godzinę),przyimek,A2
per cent,procent,rzeczownik / przymiotnik / przysłówek,A2
percentage,procent / odsetek,rzeczownik,B1
perfect,idealny / doskonały,przymiotnik,A1
perfectly,idealnie / całkowicie,przysłówek,B1
perform,wykonywać / występować,czasownik,A2
performance,występ / przedstawienie / wydajność,rzeczownik,B1
perhaps,może / być może,przysłówek,A2
period,okres / kropka (AmE),rzeczownik,A1
permanent,stały / trwały,przymiotnik,B2
permission,pozwolenie / zezwolenie,rzeczownik,A2
permit,pozwalać / zezwalać,czasownik,B2
permit,pozwolenie / zezwolenie (dokument),rzeczownik,B2
person,osoba,rzeczownik,A1
personal,osobisty / prywatny,przymiotnik,A1
personality,osobowość / charakter,rzeczownik,A2
personally,osobiście,przysłówek,B1
perspective,perspektywa / punkt widzenia,rzeczownik,B2
persuade,przekonywać,czasownik,B1
pet,zwierzę domowe,rzeczownik,A2
petrol,benzyna,rzeczownik,A2
phase,faza / etap,rzeczownik,B2
phenomenon,zjawisko / fenomen,rzeczownik,B2
philosophy,filozofia,rzeczownik,B2
phone,telefon,rzeczownik,A1
phone,dzwonić,czasownik,A1
photo,zdjęcie / fotografia,rzeczownik,A1
photograph,fotografia,rzeczownik,A1
photograph,fotografować,czasownik,A2
photographer,fotograf,rzeczownik,B1
photography,fotografia (dziedzina),rzeczownik,B1
phrase,fraza / zwrot,rzeczownik,A1
physical,fizyczny,przymiotnik,A2
physics,fizyka,rzeczownik,A2
piano,pianino / fortepian,rzeczownik,A1
pick,wybierać / zbierać / podnosić,czasownik,A2
pick,wybór,rzeczownik,B2
picture,obraz / zdjęcie / sytuacja,rzeczownik,A1
picture,wyobrażać sobie,czasownik,B2
piece,kawałek / element,rzeczownik,A1
pig,świnia,rzeczownik,A1
pile,stos / sterta,rzeczownik,B2
pile,układać w stos,czasownik,B2
pilot,pilot (samolotu),rzeczownik,A2
pin,szpilka / pinezka / PIN,rzeczownik,B1
pin,przypinać,czasownik,B1
pink,różowy,przymiotnik / rzeczownik,A1
pipe,rura / fajka,rzeczownik,B1
pitch,boisko / poziom / smoła,rzeczownik,B2
place,miejsce,rzeczownik,A1
place,umieszczać / kłaść,czasownik,B1
plain,zwyczajny / prosty / jasny,przymiotnik,B2
plan,plan,rzeczownik,A1
plan,planować,czasownik,A1
plane,samolot,rzeczownik,A1
planet,planeta,rzeczownik,A2
planning,planowanie,rzeczownik,B1
plant,roślina / fabryka,rzeczownik,A1
plant,sadzić,czasownik,A2
plastic,plastik / tworzywo sztuczne,rzeczownik,A2
plastic,plastyczny / plastikowy,przymiotnik,A2
plate,talerz / płyta / tablica,rzeczownik,A2
platform,peron / platforma / podium,rzeczownik,A2
play,grać / bawić się,czasownik,A1
play,sztuka (teatralna) / gra / zabawa,rzeczownik,A1
player,gracz / zawodnik / odtwarzacz,rzeczownik,A1
pleasant,przyjemny / miły,przymiotnik,B1
please,proszę,wykrzyknik,A1
please,zadowalać / sprawiać przyjemność,czasownik,A2
pleased,zadowolony,przymiotnik,A2
pleasure,przyjemność,rzeczownik,B1
plenty,mnóstwo / pod dostatkiem,zaimek,B1
plot,fabuła / spisek / działka,rzeczownik,B1
plot,spiskować / kreślić,czasownik,B2
plus,plus / dodać,przyimek,B1
plus,dodatkowy / na plusie,przymiotnik / spójnik / rzeczownik,B2
pocket,kieszeń,rzeczownik,A2
poem,wiersz,rzeczownik,B1
poet,poeta / poetka,rzeczownik,B1
poetry,poezja,rzeczownik,B1
point,punkt / sens / końcówka,rzeczownik,A1
point,wskazywać,czasownik,B1
pointed,spiczasty / ostry,przymiotnik,B2
poison,trucizna,rzeczownik,B1
poison,truć / zatruwać,czasownik,B1
poisonous,trujący,przymiotnik,B1
police,policja,rzeczownik,A1
policeman,policjant,rzeczownik,A1
policy,polityka / zasada / polisa,rzeczownik,B1
polite,uprzejmy / grzeczny,przymiotnik,A2
political,polityczny,przymiotnik,B1
politician,polityk,rzeczownik,B1
politics,polityka (dziedzina),rzeczownik,B1
pollution,zanieczyszczenie,rzeczownik,A2
pool,basen / kałuża / pula,rzeczownik,A1
poor,biedny / słaby / kiepski,przymiotnik,A1
pop,pop / muzyka pop,rzeczownik / przymiotnik,A2
popular,popularny,przymiotnik,A1
popularity,popularność,rzeczownik,B2
population,populacja / ludność,rzeczownik,A2
port,port,rzeczownik,B1
portrait,portret,rzeczownik,B1
pose,stanowić / pozować,czasownik,B2
position,pozycja / stanowisko / położenie,rzeczownik,A2
position,ustawiać / umieszczać,czasownik,B2
positive,pozytywny,przymiotnik,A1
positive,pozytyw,rzeczownik,B2
possess,posiadać,czasownik,B2
possession,posiadanie / własność,rzeczownik,A2
possibility,możliwość,rzeczownik,A2
possible,możliwy,przymiotnik,A1
possibly,możliwie / być może,przysłówek,B1
post,poczta / stanowisko / wpis,rzeczownik,A1
post,wysyłać / umieszczać wpis,czasownik,A1
poster,plakat / afisz,rzeczownik,A2
pot,garnek / doniczka,rzeczownik,B1
potato,ziemniak,rzeczownik,A1
potential,potencjalny,przymiotnik,B2
potential,potencjał,rzeczownik,B2
pound,funt (waluta lub jednostka wagi),rzeczownik,A1
pour,nalewać / sypać / lać (o deszczu),czasownik,B1
poverty,bieda / ubóstwo,rzeczownik,B1
powder,proszek / puder,rzeczownik,B1
power,moc / siła / władza / zasilanie,rzeczownik,A2
power,zasilać,czasownik,B2
powerful,potężny / silny,przymiotnik,B1
practical,praktyczny,przymiotnik,B1
practice,praktyka / ćwiczenie,rzeczownik,A1
practise,ćwiczyć / trenować,czasownik,A1
praise,chwalić,czasownik,B2
praise,pochwała,rzeczownik,B2
pray,modlić się,czasownik,B1
prayer,modlitwa,rzeczownik,B1
predict,przewidywać,czasownik,A2
prediction,przewidywanie / prognoza,rzeczownik,B1
prefer,woleć / preferować,czasownik,A1
pregnant,w ciąży,przymiotnik,B2
preparation,przygotowanie,rzeczownik,B2
prepare,przygotowywać (się),czasownik,A1
prepared,przygotowany / gotowy,przymiotnik,B1
presence,obecność,rzeczownik,B2
present,obecny / teraźniejszy,przymiotnik,A1
present,teraźniejszość / prezent,rzeczownik,A1
present,prezentować / przedstawiać,czasownik,A2
presentation,prezentacja / przedstawienie,rzeczownik,B1
preserve,zachowywać / chronić / konserwować,czasownik,B2
president,prezydent / prezes,rzeczownik,A2
press,naciskać / prasować,czasownik,B1
press,prasa / nacisk,rzeczownik,B1
pressure,ciśnienie / nacisk / presja,rzeczownik,B1
pretend,udawać,czasownik,B1
pretty,ładny,przymiotnik,A1
pretty,całkiem / dosyć,przysłówek,A1
prevent,zapobiegać,czasownik,A2
previous,poprzedni,przymiotnik,B1
previously,poprzednio / wcześniej,przysłówek,B1
price,cena,rzeczownik,A1
price,wyceniać,czasownik,B2
priest,ksiądz / kapłan,rzeczownik,B1
primary,podstawowy / główny,przymiotnik,B1
prime,główny / najważniejszy / pierwszej jakości,przymiotnik,B2
prince,książę,rzeczownik,B1
princess,księżniczka,rzeczownik,B1
principle,zasada / reguła,rzeczownik,B2
print,drukować,czasownik,A2
print,druk / odbitka,rzeczownik,B2
printer,drukarka,rzeczownik,A2
printing,druk / drukowanie,rzeczownik,B1
priority,priorytet,rzeczownik,B2
prison,więzienie,rzeczownik,A2
prisoner,więzień,rzeczownik,B1
privacy,prywatność,rzeczownik,B2
private,prywatny,przymiotnik,B1
prize,nagroda,rzeczownik,A2
probably,prawdopodobnie,przysłówek,A1
problem,problem,rzeczownik,A1
procedure,procedura,rzeczownik,B2
process,proces,rzeczownik,A2
process,przetwarzać,czasownik,B2
produce,produkować / wytwarzać,czasownik,A2
produce,produkty rolne,rzeczownik,B2
producer,producent,rzeczownik,B1
product,produkt,rzeczownik,A1
production,produkcja,rzeczownik,B1
profession,zawód / profesja,rzeczownik,B1
professional,profesjonalny / zawodowy,przymiotnik,A2
professional,profesjonalista,rzeczownik,B2
professor,profesor,rzeczownik,A2
profile,profil,rzeczownik,A2
profit,zysk,rzeczownik,B1
program,program,rzeczownik,A2
program,programować,czasownik,B1
programme,program (np. telewizyjny),rzeczownik,A1
progress,postęp,rzeczownik,A2
progress,robić postępy,czasownik,B2
project,projekt / przedsięwzięcie,rzeczownik,A1
project,projektować / przewidywać,czasownik,B2
promise,obiecywać,czasownik,A2
promise,obietnica,rzeczownik,A2
promote,promować / awansować,czasownik,B1
pronounce,wymawiać,czasownik,A2
proof,dowód,rzeczownik,B2
proper,właściwy / odpowiedni,przymiotnik,B1
properly,prawidłowo / właściwie,przysłówek,B1
property,własność / nieruchomość / właściwość,rzeczownik,B1
proposal,propozycja / wniosek,rzeczownik,B2
propose,proponować,czasownik,B2
prospect,szansa / perspektywa,rzeczownik,B2
protect,chronić,czasownik,A2
protection,ochrona,rzeczownik,B2
protest,protest,rzeczownik,B1
protest,protestować,czasownik,B1
proud,dumny,przymiotnik,B1
prove,udowadniać,czasownik,B1
provide,dostarczać / zapewniać,czasownik,A2
psychologist,psycholog,rzeczownik,B2
psychology,psychologia,rzeczownik,B2
pub,pub / bar,rzeczownik,A2
public,publiczny,przymiotnik,A2
public,publiczność / ogół,rzeczownik,A2
publication,publikacja,rzeczownik,B2
publish,publikować / wydawać,czasownik,A2
pull,ciągnąć,czasownik,A2
pull,pociągnięcie,rzeczownik,B1
punish,karać,czasownik,B1
punishment,kara,rzeczownik,B1
pupil,uczeń / źrenica,rzeczownik,B2
purchase,zakup,rzeczownik,B2
purchase,kupować / nabywać,czasownik,B2
pure,czysty / czystej krwi,przymiotnik,B2
purple,fioletowy,przymiotnik,A1
purple,fiolet,rzeczownik,A1
purpose,cel / zamiar,rzeczownik,A2
pursue,dążyć do / ścigać,czasownik,B2
push,pchać,czasownik,A2
push,pchnięcie,rzeczownik,B1
put,kłaść / kłaść,czasownik,A1
qualification,kwalifikacja,rzeczownik,B1
qualified,wykwalifikowany,przymiotnik,B1
qualify,kwalifikować się,czasownik,B1
quality,jakość,rzeczownik,A2
quantity,ilość,rzeczownik,A2
quarter,ćwiartka / kwadrans / dzielnica,rzeczownik,A1
queen,królowa,rzeczownik,A2
question,pytanie / kwestia,rzeczownik,A1
question,pytać / kwestionować,czasownik,A2
queue,kolejka,rzeczownik,B1
queue,stać w kolejce,czasownik,B1
quick,szybki,przymiotnik,A1
quickly,szybko,przysłówek,A1
quiet,cichy,przymiotnik,A1
quietly,cicho,przysłówek,A2
quit,rzucić / przestać / wyjść,czasownik,B1
quite,całkiem / dość,przysłówek,A1
quotation,cytat / wycena,rzeczownik,B1
quote,cytować / wyceniać,czasownik,B1
quote,cytat / cudzysłów,rzeczownik,B1
race (competition),wyścig,rzeczownik,A2
race (competition),ścigać się,czasownik,A2
race (people),rasa,rzeczownik,B1
racing,wyścigi,rzeczownik,B1
radio,radio,rzeczownik,A1
railway,kolej / linia kolejowa,rzeczownik,A2
rain,deszcz,rzeczownik,A1
rain,padać (o deszczu),czasownik,A1
raise,podnosić / wychowywać / zbierać (fundusze),czasownik,A2
range,zakres / przedział / asortyment,rzeczownik,B1
range,mieścić się w przedziale,czasownik,B2
rank,ranga / stopień / rządek,rzeczownik,B2
rank,klasyfikować (się),czasownik,B2
rapid,szybki / gwałtowny,przymiotnik,B2
rapidly,szybko / gwałtownie,przysłówek,B2
rare,rzadki,przymiotnik,B1
rarely,rzadko,przysłówek,B1
rate,wskaźnik / tempo / stawka,rzeczownik,A2
rate,oceniać / szacować,czasownik,B2
rather,raczej / dosyć,przysłówek,A2
raw,surowy,przymiotnik,B2
reach,docierać / sięgać,czasownik,A2
reach,zasięg,rzeczownik,B2
react,reagować,czasownik,A2
reaction,reakcja,rzeczownik,B1
read,czytać,czasownik,A1
reader,czytelnik,rzeczownik,A1
reading,czytanie,rzeczownik,A1
ready,gotowy,przymiotnik,A1
real,prawdziwy / rzeczywisty,przymiotnik,A1
realistic,realistyczny,przymiotnik,B2
reality,rzeczywistość,rzeczownik,B1
realize,uświadomić sobie / realizować,czasownik,A2
really,naprawdę / rzeczywiście,przysłówek,A1
reason,powód / przyczyna / rozsądek,rzeczownik,A1
reasonable,rozsądny / przystępny (o cenie),przymiotnik,B2
recall,przypominać sobie / wycofywać,czasownik,B2
receipt,paragon / pokwitowanie,rzeczownik,B1
receive,otrzymywać / odbierać,czasownik,A2
recent,niedawny / ostatni,przymiotnik,A2
recently,ostatnio / niedawno,przysłówek,A2
reception,recepcja / przyjęcie,rzeczownik,A2
recipe,przepis (kulinarny),rzeczownik,A2
recognize,rozpoznawać / uznawać,czasownik,A2
recommend,polecać / rekomendować,czasownik,A2
recommendation,rekomendacja / polecenie,rzeczownik,B1
record,płyta / zapis / rekord,rzeczownik,A2
record,nagrywać / zapisywać,czasownik,A2
recording,nagranie,rzeczownik,A2
recover,wyzdrowieć / odzyskać,czasownik,B2
recycle,przetwarzać wtórnie / recyklingować,czasownik,A2
red,czerwony,przymiotnik,A1
red,czerwień,rzeczownik,A1
reduce,redukować / zmniejszać,czasownik,A2
reduction,obniżka / redukcja,rzeczownik,B2
refer,odnosić się do / kierować do,czasownik,A2
reference,odniesienie / referencje / źródło,rzeczownik,B1
reflect,odbijać / odzwierciedlać / rozmyślać,czasownik,B1
refuse,odmawiać,czasownik,A2
regard,uważać za / brać pod uwagę,czasownik,B2
